idx,les,dk,en
16_Conjunctions,9,spørgsmålene, = the questions
17_Time,1,morgen,= morning
17_Time,10,nat,= night
17_Time,11,mandag,= Monday
17_Time,12,tirsdag,= Tuesday
17_Time,13,tirsdage,= Tuesdays
17_Time,14,onsdag,= Wednesday
17_Time,15,torsdag,= Thursday
17_Time,16,torsdage,= Thursdays
17_Time,17,fredag,= Friday
17_Time,18,fredagen,= the Friday
17_Time,19,hverdag,= weekday
17_Time,2,formiddagen,= the morning
17_Time,20,hverdage,= weekdays
17_Time,21,hverdagene,= the weekdays
17_Time,22,kalender,= calendar
17_Time,23,lørdag,= Saturday
17_Time,24,søndag,= Sunday
17_Time,25,om søndagen,= on Sundays
17_Time,26,weekend,= weekend
17_Time,27,weekenden,= the weekend
17_Time,28,alder,= age
17_Time,29,alderen,= the age
17_Time,3,formiddagene,= the mornings
17_Time,30,aldrene,= the ages
17_Time,31,en time,= an hour
17_Time,32,en uge,= a week
17_Time,33,ugen,= the week
17_Time,34,en måned,= a month
17_Time,35,et år,= a year
17_Time,36,året,= the year
17_Time,37,dato,= date
17_Time,38,datoen,= the date
17_Time,39,januar,= January
17_Time,4,eftermiddag,= afternoon
17_Time,40,februar,= February
17_Time,41,marts,= March
17_Time,42,april,= April
17_Time,43,maj,= May
17_Time,44,juni,= June
17_Time,45,en sæson,= a season
17_Time,46,sæsonen,= the season
17_Time,47,sæsonerne,= the seasons
17_Time,48,juli,= July
17_Time,49,august,= August
17_Time,5,eftermiddagen,= the afternoon
17_Time,50,september,= September
17_Time,51,oktober,= October
17_Time,52,november,= November
17_Time,53,december,= December
17_Time,54,et minut,= a minute
17_Time,55,et århundred,= a century
17_Time,56,en periode,= a period
17_Time,57,perioden,= the period
17_Time,58,perioderne,= the periods
17_Time,59,vinter,= Winter
17_Time,6,i dag,= today
17_Time,60,vinteren,= the Winter
17_Time,61,forår,= Spring
17_Time,62,foråret,= the Spring
17_Time,63,sommer,= Summer
17_Time,64,sommeren,= the Summer
17_Time,65,efteråret,= the Fall/Autumn
17_Time,66,fødsel,= birth
17_Time,67,fødslen,= the birth
17_Time,68,fødslerne,= the births
17_Time,69,generation,= generation
17_Time,7,i aften,= tonight
17_Time,70,generationen,= the generation
17_Time,71,et marked,= a market
17_Time,72,markedet,= the market/fair
17_Time,73,fest,= party
17_Time,74,festen,= the party
17_Time,75,en scene,= a stage/scene
17_Time,76,scenen,= the stage
17_Time,77,et øjeblik,= a moment
17_Time,78,øjeblikket,= the moment
17_Time,79,i øjeblikket,= currently
17_Time,8,i morgen,= tomorrow
17_Time,80,midnat,= midnight
17_Time,81,et sekund,= a second
17_Time,82,sekunder,= seconds
17_Time,83,et årti,= a decade
17_Time,84,årtier,= decades
17_Time,85,en smule,= a bit
17_Time,86,middag,= noon
17_Time,87,indtil,= until
17_Time,9,tid,= time
18_Family,0,forældre, = parents
18_Family,1,forældrene, = the parents
18_Family,10,sønnerne, = the sons
18_Family,11,datteren, = the daughter
18_Family,12,døtre, = daughters
18_Family,13,døtrene, = the daughters
18_Family,14,familie, = family
18_Family,15,familien, = the family
18_Family,16,mand, = husband
18_Family,17,kone, = wife
18_Family,18,koner, = wives
18_Family,19,onkel, = uncle
18_Family,2,far, = father
18_Family,20,onkler, = uncles
18_Family,21,tante, = aunt
18_Family,22,tanter, = aunts
18_Family,23,søskende, = siblings
18_Family,24,et ægteskab, = a marriage
18_Family,25,ægteskaberne, = the marriages
18_Family,26,bedstefar, = grandfather
18_Family,27,bedstefædre, = grandfathers
18_Family,28,bedstefaren, = the grandfather
18_Family,29,bedstemor, = grandmother
18_Family,3,faren, = the father
18_Family,30,bedstemødre, = grandmothers
18_Family,31,gæst, = guest
18_Family,32,gæsten, = the guest
18_Family,33,bamse, = teddy bear
18_Family,34,bamsen, = the teddy bear
18_Family,35,legetøj, = toy
18_Family,36,en leg, = a game
18_Family,37,et navn, = a name
18_Family,4,mor, = mother
18_Family,5,moren, = the mother
18_Family,6,bror, = brother
18_Family,7,søster, = sister
18_Family,8,søn, = son
18_Family,9,sønner, = sons
19_Occupation,0,der, = there
19_Occupation,1,for, = too
19_Occupation,10,henne, = at
19_Occupation,11,her, = here
19_Occupation,12,også, = too/also
19_Occupation,13,ret," = pretty/ very"
19_Occupation,14,bare, = just
19_Occupation,15,endda, = even
19_Occupation,16,engang, = even/once
19_Occupation,17,ikke engang, = not even
19_Occupation,18,godt, = well
19_Occupation,19,imidlertid, = however
19_Occupation,2,hen til, = to
19_Occupation,20,kun, = only
19_Occupation,21,selv, = even
19_Occupation,22,stadig, = still
19_Occupation,23,allerede, = already
19_Occupation,24,endnu, = yet/even
19_Occupation,25,endnu ikke, = not yet
19_Occupation,26,igen, = again
19_Occupation,27,lidt, = a bit
19_Occupation,28,for lidt, = too little?
19_Occupation,29,nogensinde, = ever
19_Occupation,3,meget, = very
19_Occupation,30,mindst, = least
19_Occupation,31,i det mindste, = at least
19_Occupation,32,væk, = away
19_Occupation,33,virkelig, = really
19_Occupation,34,ellers, = else
19_Occupation,35,i øjeblikket, = currently/at the moment
19_Occupation,36,langt, = far
19_Occupation,37,længe, = long (time)/ long a time"
19_Occupation,39,sædvanligvis, = usually
19_Occupation,4,mere, = more
19_Occupation,40,senere, = later
19_Occupation,41,snart, = soon
19_Occupation,42,tilstrækkeligt, = enough
19_Occupation,43,endelig, = finally
19_Occupation,44,for, = too
19_Occupation,45,generelt, = generally
19_Occupation,46,især, = especially
19_Occupation,47,mens, = while
19_Occupation,48,næsten, = almost
19_Occupation,49,nemt, = easily
19_Occupation,5,nu, = now
19_Occupation,50,om, = during/in
19_Occupation,51,sent, = late
19_Occupation,52,sommetider, = sometimes
19_Occupation,53,tidligt, = early/soon
19_Occupation,54,fuldstændigt, = completely
19_Occupation,55,inde, = inside
19_Occupation,56,muligvis, = possibly
19_Occupation,57,omtrent, = approximately
19_Occupation,58,præcis, = exactly
19_Occupation,59,præcist, = exactly
19_Occupation,6,så, = so
19_Occupation,60,tydeligt, = clearly
19_Occupation,61,ude, = out/outside
19_Occupation,62,lige meget = ,it does not matter
19_Occupation,63,lige så meget som, = as much as
19_Occupation,64,bestemt, = definitely
19_Occupation,65,nødvendigvis, = necessarily
19_Occupation,66,hverken, = neither
19_Occupation,67,normalt, = normally
19_Occupation,68,perfekt, = perfect/perfectly
19_Occupation,69,personligt, = personal
19_Occupation,7,aldrig, = never
19_Occupation,70,langsomt, = slowly
19_Occupation,71,sammen, = together
19_Occupation,8,altid, = always
19_Occupation,9,derefter, = then
19_Occupation,72,studerende, = student
19_Occupation,73,doktor, = doctor
19_Occupation,74,arbejde, = work/job
19_Occupation,75,arbejdet, = the work/job
19_Occupation,76,en advokat, = a lawyer
19_Occupation,77,advokaten, = the lawyer
19_Occupation,78,advokaterne, = the lawyers
19_Occupation,79,direktør, = manager/director
19_Occupation,80,direktøren, = the manager/director
19_Occupation,81,kunstner, = artist
19_Occupation,82,kunstneren, = the artist
19_Occupation,83,ninjaer, = ninjas
19_Occupation,84,doktorer, = doctors
19_Occupation,85,ninjaen, = the ninja
19_Occupation,86,ninjaerne, = the ninjas
19_Occupation,87,politi, = police
19_Occupation,88,en sekretær, = a secretary
19_Occupation,89,sekretæren, = the secretary
19_Occupation,90,arbejder, = worker
19_Occupation,91,arbejderne, = the workers
19_Occupation,92,karriere, = career
19_Occupation,93,betjent, = police officer
19_Occupation,94,en betjent, = a police officer
19_Occupation,95,en forfatter, = an author
19_Occupation,96,en borgmester, = a mayor
19_Occupation,97,dommer, = judge/referee
19_Occupation,98,en dommer, = a judge/referee
19_Occupation,99,dommere, = judges/referees
19_Occupation,100,professionel, = professional
19_Occupation,101,professionelle, = professionals
19_Occupation,102,skuespillere, = actors/actresses
19_Occupation,103,skuespilleren, = the actor/actress
19_Occupation,104,soldat, = soldier
19_Occupation,105,soldater, = soldiers
19_Occupation,106,soldaterne, = the soldiers
19_Occupation,107,forfattere, = authors
19_Occupation,108,vagt, = guard
19_Occupation,109,en vagt, = a guard
19_Occupation,110,arkitekt, = architect
19_Occupation,111,chef, = boss
19_Occupation,112,chefen, = the boss/manager
19_Occupation,113,chefer, = bosses
19_Occupation,114,erhverv, = profession
19_Occupation,115,erhvervet, = the profession
19_Occupation,116,en ingeniør, = an engineer
19_Occupation,117,ingeniøren, = the engineer
19_Occupation,118,en model, = a model
19_Occupation,119,kok, = cook/chef
19_Occupation,120,kokke, = cooks/chefs
19_Occupation,121,landmand, = farmer
19_Occupation,122,landmænd, = farmers
19_Occupation,123,servitrice, = waitress
19_Occupation,124,tjener, = waiter/servant
19_Occupation,125,tjeneren, = the waiter/servant
19_Occupation,126,modellen, = the model
19_Occupation,127,modeller, = models
19_Occupation,128,personalet, = the staff
19_Occupation,129,et job, = a job
20_Adjectives_1,1,generel, = general (common singular)
20_Adjectives_1,2,generelle, = general (plural or definite)
20_Adjectives_1,3,lille, = little (common singular)
20_Adjectives_1,4,næste, = next (common singular)
20_Adjectives_1,5,rigtig, = real (common singular)
20_Adjectives_1,6,rigtigt, = real (neuter singular)
20_Adjectives_1,7,rigtige, = real (plural or definite)
20_Adjectives_1,8,samme, = same (plural or definite)
20_Adjectives_1,9,små, = little (plural or definite)
20_Adjectives_1,10,tosproget, = bilingual (common singular)
20_Adjectives_1,11,tosprogede, = bilingual (plural or definite)
20_Adjectives_1,12,træt, = tired (neuter singular)
20_Adjectives_1,13,trætte, = tired (plural or definite)
20_Adjectives_1,14,Lesson 2
20_Adjectives_1,15,åben, = open
20_Adjectives_1,16,egen, = own (common singular)
